                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2804,                 5.6501,                 5.4023,                      0,                      0,                      0,                      0,                 4.3559,                 4.9075,                  4.159,                      0,                      0,                      0
                      2,                 3.8636,                 5.4405,                 4.9954,                      0,                      0,                      0,                      0,                 4.3559,                 4.9075,                 4.1594,             1.2488e-05,             1.2488e-05,             1.2488e-05
                      3,                 4.2572,                 5.2513,                  4.863,                      0,                      0,                      0,                      0,                  4.356,                 4.9075,                 4.1594,             2.4951e-05,             2.4951e-05,             2.4951e-05
                      4,                 3.8747,                 5.1202,                 4.9657,                      0,                      0,                      0,                      0,                  4.356,                 4.9075,                 4.1597,             3.7389e-05,             3.7389e-05,             3.7389e-05
                      5,                 4.3955,                 5.1795,                 4.8455,                      0,                      0,                      0,                      0,                  4.356,                 4.9075,                 4.1602,             4.9802e-05,             4.9802e-05,             4.9802e-05
                      6,                 4.4566,                 5.4036,                 4.9656,                      0,                      0,                      0,                      0,                  4.356,                 4.9075,                 4.1604,             6.2191e-05,             6.2191e-05,             6.2191e-05
                      7,                  4.481,                 5.3419,                 5.1486,                      0,                      0,                      0,                      0,                  4.356,                 4.9037,                 4.1604,             7.4554e-05,             7.4554e-05,             7.4554e-05
                      8,                  4.351,                 5.1718,                 4.9833,                      0,                      0,                      0,                      0,                 4.3559,                 4.9038,                 4.1605,             8.6894e-05,             8.6894e-05,             8.6894e-05
                      9,                 4.6902,                 5.5684,                 5.0126,                      0,                      0,                      0,                      0,                 4.3559,                 4.9038,                 4.1611,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     10,                  4.379,                 5.0112,                 4.6431,                      0,                      0,                      0,                      0,                 4.3559,                 4.9076,                 4.1612,              0.0001115,              0.0001115,              0.0001115
                     11,                 4.1474,                 4.9788,                 4.6404,                      0,                      0,                      0,                      0,                  4.362,                   4.91,                 4.1613,             0.00012376,             0.00012376,             0.00012376
                     12,                 3.7919,                 4.7751,                 4.5659,                      0,                      0,                      0,                      0,                  4.356,                 4.9076,                 4.1611,               0.000136,               0.000136,               0.000136
                     13,                 4.0662,                 4.8219,                 4.5294,                      0,                      0,                      0,                      0,                 4.3621,                   4.91,                 4.1608,             0.00014822,             0.00014822,             0.00014822
                     14,                 3.7607,                 4.5785,                 4.4945,                      0,                      0,                      0,                      0,                 4.3621,                   4.91,                 4.1612,             0.00016041,             0.00016041,             0.00016041
                     15,                 3.5578,                 4.4569,                 4.5587,                      0,                      0,                      0,                      0,                 4.3651,                 4.9118,                 4.1612,             0.00017257,             0.00017257,             0.00017257
                     16,                 3.8576,                 4.3826,                   4.61,                      0,                      0,                      0,                      0,                 4.3597,                 4.9153,                 4.1617,             0.00018472,             0.00018472,             0.00018472
                     17,                  4.064,                 4.5163,                 4.3289,                      0,                      0,                      0,                      0,                 4.3597,                 4.9153,                  4.162,             0.00019683,             0.00019683,             0.00019683
                     18,                 3.7355,                 4.0712,                 4.4137,                      0,                      0,                      0,                      0,                 4.3597,                 4.9153,                  4.162,             0.00020892,             0.00020892,             0.00020892
                     19,                 4.2081,                   4.52,                 4.3377,                      0,                      0,                      0,                      0,                 4.3621,                 4.9197,                 4.1619,             0.00022099,             0.00022099,             0.00022099
                     20,                  4.434,                 4.2829,                 4.3262,                      0,                      0,                      0,                      0,                 4.3621,                 4.9197,                 4.1619,             0.00023303,             0.00023303,             0.00023303
                     21,                 3.7215,                 4.1372,                 4.3243,                      0,                      0,                      0,                      0,                 4.3679,                 4.9224,                 4.1624,             0.00024505,             0.00024505,             0.00024505
                     22,                 3.6538,                 4.0472,                 4.3093,                      0,                      0,                      0,                      0,                 4.3679,                 4.9224,                 4.1624,             0.00025704,             0.00025704,             0.00025704
                     23,                 4.1857,                 4.0587,                  4.229,                      0,                      0,                      0,                      0,                 4.3678,                 4.9303,                 4.1632,             0.00026901,             0.00026901,             0.00026901
                     24,                 3.8847,                 3.9065,                 4.2415,                      0,                      0,                      0,                      0,                 4.3678,                 4.9303,                 4.1632,             0.00028095,             0.00028095,             0.00028095
                     25,                 3.8962,                 4.3657,                 4.2833,                      0,                      0,                      0,                      0,                 4.3693,                 4.9331,                 4.1636,             0.00029287,             0.00029287,             0.00029287
                     26,                 3.5372,                  3.706,                 4.2053,                      0,                      0,                      0,                      0,                 4.3693,                 4.9331,                 4.1636,             0.00030477,             0.00030477,             0.00030477
                     27,                 3.7799,                 3.8031,                 4.1925,                      0,                      0,                      0,                      0,                 4.3702,                 4.9382,                 4.1636,             0.00031663,             0.00031663,             0.00031663
                     28,                 3.7315,                 3.9167,                 4.1822,                      0,                      0,                      0,                      0,                 4.3702,                 4.9382,                 4.1636,             0.00032848,             0.00032848,             0.00032848
                     29,                 3.6702,                 3.9011,                 4.2382,                      0,                      0,                      0,                      0,                 4.3768,                 4.9454,                 4.1646,              0.0003403,              0.0003403,              0.0003403
                     30,                 3.4063,                 3.4877,                  4.157,                      0,                      0,                      0,                      0,                 4.3768,                 4.9454,                 4.1646,             0.00035209,             0.00035209,             0.00035209
                     31,                 3.7731,                  3.335,                 4.1331,                      0,                      0,                      0,                      0,                 4.3768,                 4.9493,                 4.1653,             0.00036386,             0.00036386,             0.00036386
                     32,                 3.6764,                 3.9638,                 4.1822,                      0,                      0,                      0,                      0,                 4.3768,                 4.9493,                 4.1653,             0.00037561,             0.00037561,             0.00037561
                     33,                 3.8588,                 4.1186,                 4.0926,                      0,                      0,                      0,                      0,                  4.384,                 4.9537,                 4.1659,             0.00038733,             0.00038733,             0.00038733
                     34,                 3.5585,                 3.4184,                 4.2683,                      0,                      0,                      0,                      0,                  4.384,                 4.9537,                 4.1659,             0.00039902,             0.00039902,             0.00039902
                     35,                 3.5276,                 3.6145,                 4.1073,                      0,                      0,                      0,                      0,                 4.3864,                 4.9581,                 4.1665,             0.00041069,             0.00041069,             0.00041069
                     36,                 3.5716,                  3.412,                 4.0868,                      0,                      0,                      0,                      0,                 4.3864,                 4.9581,                 4.1665,             0.00042234,             0.00042234,             0.00042234
                     37,                 3.3284,                  3.237,                 4.0425,                      0,                      0,                      0,                      0,                  4.383,                 4.9353,                 4.1674,             0.00043396,             0.00043396,             0.00043396
                     38,                 3.3128,                 3.1717,                 4.0205,                      0,                      0,                      0,                      0,                  4.383,                 4.9353,                 4.1674,             0.00044556,             0.00044556,             0.00044556
                     39,                 3.3607,                 3.1777,                  4.033,                      0,                      0,                      0,                      0,                 4.3917,                 4.9358,                 4.1688,             0.00045713,             0.00045713,             0.00045713
                     40,                 3.2386,                 3.2287,                 3.9888,                      0,                      0,                      0,                      0,                 4.3917,                 4.9358,                 4.1688,             0.00046868,             0.00046868,             0.00046868
                     41,                 3.3436,                 3.2014,                 4.0834,                      0,                      0,                      0,                      0,                  4.398,                 4.9272,                 4.1696,              0.0004802,              0.0004802,              0.0004802
                     42,                 3.3711,                 2.9734,                 4.0822,                      0,                      0,                      0,                      0,                  4.398,                 4.9272,                 4.1696,              0.0004917,              0.0004917,              0.0004917
                     43,                 3.0738,                 3.0236,                 4.0035,                      0,                      0,                      0,                      0,                  4.397,                 4.9133,                 4.1714,             0.00050317,             0.00050317,             0.00050317
                     44,                 3.1625,                 2.8601,                 4.0159,                      0,                      0,                      0,                      0,                  4.397,                 4.9133,                 4.1714,             0.00051462,             0.00051462,             0.00051462
                     45,                 3.4034,                 2.9618,                 3.7761,                      0,                      0,                      0,                      0,                 4.4032,                 4.9146,                 4.1733,             0.00052604,             0.00052604,             0.00052604
                     46,                 2.9172,                 3.0084,                 3.9242,                      0,                      0,                      0,                      0,                 4.4032,                 4.9146,                 4.1733,             0.00053744,             0.00053744,             0.00053744
                     47,                 2.9739,                 2.9139,                 3.8377,                      0,                      0,                      0,                      0,                 4.4097,                 4.9214,                 4.1762,             0.00054881,             0.00054881,             0.00054881
                     48,                  3.089,                 2.8699,                 3.7505,                      0,                      0,                      0,                      0,                 4.4097,                 4.9214,                 4.1762,             0.00056016,             0.00056016,             0.00056016
                     49,                 3.0775,                 2.8479,                 3.7776,                      0,                      0,                      0,                      0,                 4.4155,                  4.923,                  4.178,             0.00057149,             0.00057149,             0.00057149
                     50,                 3.0907,                 2.7702,                 3.7153,                      0,                      0,                      0,                      0,                 4.4155,                  4.923,                  4.178,             0.00058279,             0.00058279,             0.00058279
                     51,                 3.4051,                 3.3633,                 3.7543,                      0,                      0,                      0,                      0,                 4.4192,                  4.924,                 4.1809,             0.00059406,             0.00059406,             0.00059406
                     52,                 2.9933,                 2.4478,                  3.619,                      0,                      0,                      0,                      0,                 4.4192,                  4.924,                 4.1809,             0.00060531,             0.00060531,             0.00060531
                     53,                  3.206,                  2.618,                 3.6096,                      0,                      0,                      0,                      0,                 4.4192,                  4.924,                 4.1809,             0.00061654,             0.00061654,             0.00061654
                     54,                 3.0851,                 2.7861,                 3.6982,                      0,                      0,                      0,                      0,                  4.418,                  4.922,                 4.1804,             0.00062774,             0.00062774,             0.00062774
                     55,                  2.989,                 2.7106,                 3.7188,                      0,                      0,                      0,                      0,                  4.418,                  4.922,                 4.1804,             0.00063891,             0.00063891,             0.00063891
                     56,                 2.7626,                 2.5937,                 3.6722,                      0,                      0,                      0,                      0,                  4.418,                  4.922,                 4.1804,             0.00065007,             0.00065007,             0.00065007
                     57,                 2.9546,                  2.489,                 3.4634,                      0,                      0,                      0,                      0,                  4.412,                 4.9378,                 4.1801,             0.00066119,             0.00066119,             0.00066119
                     58,                 2.8345,                  2.811,                 3.6649,                      0,                      0,                      0,                      0,                  4.412,                 4.9378,                 4.1801,             0.00067229,             0.00067229,             0.00067229
                     59,                 2.6396,                 2.5498,                 3.6024,                      0,                      0,                      0,                      0,                  4.412,                 4.9378,                 4.1801,             0.00068337,             0.00068337,             0.00068337
                     60,                 2.7493,                 2.5959,                 3.5917,                      0,                      0,                      0,                      0,                 4.4102,                 4.9567,                 4.1805,             0.00069442,             0.00069442,             0.00069442
                     61,                 2.7316,                 2.4308,                 3.5123,                      0,                      0,                      0,                      0,                 4.4102,                 4.9567,                 4.1805,             0.00070545,             0.00070545,             0.00070545
                     62,                 2.4986,                 2.9512,                  3.683,                      0,                      0,                      0,                      0,                 4.4102,                 4.9567,                 4.1805,             0.00071645,             0.00071645,             0.00071645
